Grade,Name,Category,SubCategory,Group,Density (g/cm³),Melting Point (°C),Thermal Conductivity (W/m·K),Tensile Strength (MPa),Yield Strength (MPa),Elongation (%),Hardness,Machinability,Weldability,Cost Tier,Cost Index
QT700-2,高强度球墨铸铁,metal,ferrous,cast_iron,7.1,1150,30,700,420,2,HB225-305,fair,poor,1,1.6
RPTFE,增强聚四氟乙烯,non_metal,polymer,fluoropolymer,2.3,327,0.4,20,10,,,good,,2,3.5
Rene41,镍基高温合金,metal,non_ferrous,corrosion_resistant,8.25,1350,10,1310,860,14,HRC36-44,poor,fair,5,100.0
RuT300,蠕墨铸铁,metal,ferrous,vermicular_iron,7.1,1180,38,300,210,3,HB140-200,good,fair,1,1.2
RuT350,蠕墨铸铁,metal,ferrous,vermicular_iron,7.15,1180,36,350,245,2,HB160-220,good,fair,2,1.5
RuT400,高强度蠕墨铸铁,metal,ferrous,vermicular_iron,7.2,1180,34,400,280,1,HB180-250,fair,fair,2,1.8
S136,塑料模具钢,metal,ferrous,tool_steel,7.8,1450,20,,,300,HRC48-52,good,fair,3,6.0
S30408,奥氏体不锈钢,metal,ferrous,stainless_steel,7.93,1450,16,520,205,40,HB187,fair,excellent,2,3.5
S31603,低碳奥氏体不锈钢,metal,ferrous,stainless_steel,7.98,1440,16,480,170,40,HB187,fair,excellent,3,4.5
SAC305,无铅焊锡,metal,non_ferrous,solder,7.37,217,58,45,35,45,HB15,excellent,excellent,2,3.5
SAC387,高银无铅焊锡,metal,non_ferrous,solder,7.4,217,60,50,40,40,HB16,excellent,excellent,2,4.5
Sapphire,蓝宝石,non_metal,ceramic,optical_material,3.98,2050,40,400,400,0.5,HV2000,very_poor,none,5,200.0
Si3N4,氮化硅陶瓷,non_metal,nitride_ceramic,structural_ceramic,3.2,1900,20,700,700,,HV1400-1600,very_poor,none,4,80.0
SiC-Semiconductor,碳化硅半导体,non_metal,ceramic,semiconductor,3.21,2730,490,500,500,0.5,HV2800,very_poor,none,5,500.0
Silicon-Wafer,硅晶圆,non_metal,ceramic,semiconductor,2.33,1414,150,120,120,0.5,HV1000,fair,none,4,50.0
SmCo,钐钴永磁,metal,non_ferrous,permanent_magnet,8.4,1300,11,50,,0.5,HV550,poor,poor,5,200.0
Sn99.3Cu0.7,无银无铅焊锡,metal,non_ferrous,solder,7.3,227,55,35,28,50,HB12,excellent,excellent,2,2.5
Stellite,司太立合金,metal,non_ferrous,hard_alloy,8.4,1285,14.7,900,550,0.5,HRC45,poor,good,4,65.0
Stellite6,司太立6,metal,non_ferrous,corrosion_resistant,8.4,1285,14.6,900,700,1,HRC38-44,poor,good,5,100.0
TA1,工业纯钛,metal,non_ferrous,titanium,4.51,1668,16.4,275,170,24,HB120,fair,excellent,4,12.0
TA2,工业纯钛,metal,non_ferrous,titanium,4.51,1668,16.4,400,275,20,HB200,poor,good,4,15.0
TB6,β型钛合金,metal,non_ferrous,titanium,4.65,1620,7.8,1250,1170,10,HRC42,poor,fair,4,40.0
TC11,高温钛合金,metal,non_ferrous,titanium,4.48,1630,7.5,1030,930,8,HB350,poor,fair,4,35.0
TC21,损伤容限型钛合金,metal,non_ferrous,titanium,4.52,1650,7.2,1100,1000,6,HB350,poor,good,4,38.0
TC4,钛合金,metal,non_ferrous,titanium,4.43,1650,6.7,895,825,10,HB320,poor,good,4,25.0
TZM,钛锆钼合金,metal,non_ferrous,refractory_metal,10.2,2620,126,900,700,10,HV280-350,fair,poor,5,80.0
Ta-1,纯钽,metal,non_ferrous,refractory_metal,16.6,2996,57,400,200,25,HV100-150,good,good,5,200.0
Thermal-Pad,导热垫片,non_metal,polymer,thermal_interface,2.8,200,8,0.5,,0.5,Shore 00-50,good,none,3,15.0
Thermal-Paste,导热硅脂,non_metal,polymer,thermal_interface,2.5,200,5,,,,粘稠体,N/A,none,2,5.0
Ti-6242,近α型钛合金,metal,non_ferrous,titanium,4.54,1660,7.0,1030,900,10,HRC36,poor,good,4,60.0
Ti64-AM,3D打印钛合金,metal,non_ferrous,additive_manufacturing,4.43,1660,6.7,1100,1000,8,HRC36,poor,good,5,200.0
Ti6Al4V-ELI,医用钛合金,metal,non_ferrous,medical_alloy,4.43,1660,6.7,860,795,10,HRC36,poor,good,5,85.0
UHMWPE,超高分子量聚乙烯,non_metal,polymer,engineering_plastic,0.93,136,0.42,40,20,,,good,poor,2,3.0
VMQ,硅橡胶,non_metal,polymer,rubber,1.1,250,0.2,10,5,,,fair,,2,4.0
W-1,纯钨,metal,non_ferrous,refractory_metal,19.3,3410,173,800,600,2,HV350-450,poor,poor,5,60.0
W18Cr4V,高速钢,metal,ferrous,tool_steel,8.7,1350,24,,,,HRC63-66,poor,poor,3,8.0
W6Mo5Cr4V2,高性能高速钢,metal,ferrous,tool_steel,8.16,1430,19,,,,HRC63-66,poor,poor,3,7.0
WC-Co,钨钴硬质合金,composite,ceramic,hard_alloy,14.5,2870,80,1500,1500,0.5,HRA89,very_poor,poor,4,80.0
Waspaloy,镍基高温合金,metal,non_ferrous,corrosion_resistant,8.19,1355,11,1275,795,25,HRC35-42,poor,fair,5,85.0
X52,管线钢,metal,ferrous,carbon_steel,7.85,1500,48,460,360,21,HB140-180,good,good,1,1.4
X65,管线钢,metal,ferrous,alloy_steel,7.85,1495,45,535,450,19,HB160-200,good,good,2,1.8
X80,高强度管线钢,metal,ferrous,alloy_steel,7.85,1490,43,625,555,18,HB180-220,fair,fair,2,2.2
Y15,硫系易切削钢,metal,ferrous,free_cutting_steel,7.87,1500,50,380,220,25,HB150-180,excellent,poor,1,1.5
Y40Mn,易切削调质钢,metal,ferrous,free_cutting_steel,7.85,1495,48,620,370,18,HB180-220,good,fair,2,2.0
YBCO,钇钡铜氧超导体,non_metal,ceramic,superconductor,6.3,1015,4,150,,0.5,HV600,poor,poor,5,500.0
YG6,钨钴硬质合金,metal,non_ferrous,cemented_carbide,14.9,2800,80,1350,1350,0.5,HRA90,poor,,4,52.0
YG8,钨钴硬质合金,metal,non_ferrous,cemented_carbide,14.7,2800,75,1500,1500,,HRA89,poor,,4,50.0
YSZ,氧化钇稳定氧化锆,non_metal,ceramic,thermal_barrier,6.1,2700,2.0,200,200,0.5,HV1200,very_poor,none,4,45.0
YT15,钨钛钴硬质合金,metal,non_ferrous,cemented_carbide,11.5,2800,42,1200,1200,,HRA91,poor,,4,55.0
YW1,钨钛钽钴硬质合金,metal,non_ferrous,cemented_carbide,12.9,2780,50,1300,1300,,HRA90-91,very_poor,poor,4,58.0
ZA-8,锌铝合金ZA-8,metal,non_ferrous,zinc_alloy,6.3,404,115,374,290,8,HB103,excellent,poor,2,2.2
ZChPbSb16-16-2,铅基巴氏合金,metal,non_ferrous,bearing_alloy,9.5,280,23,75,50,3,HB20,excellent,good,2,5.0
ZChSnSb11-6,锡基巴氏合金,metal,non_ferrous,bearing_alloy,7.38,240,55,90,60,5,HB25,excellent,good,3,12.0
ZCuSn10P1,铸造锡磷青铜,metal,non_ferrous,tin_bronze,8.8,1000,50,280,140,5,HB80-100,good,fair,3,8.0
ZK60,高强镁合金,metal,non_ferrous,magnesium,1.83,620,100,340,280,11,HB72,good,fair,3,5.0
ZL101,铸造铝硅镁合金,metal,non_ferrous,cast_aluminum,2.68,615,151,290,210,2,HB85-100,good,good,2,3.2
ZL102,铸造铝硅合金,metal,non_ferrous,aluminum,2.65,577,151,150,70,2,HB50-65,good,fair,2,2.5
ZL104,铸造铝硅铜合金,metal,non_ferrous,cast_aluminum,2.75,600,109,240,180,1,HB90-105,good,fair,2,2.8
ZL201,铸造铝铜合金,metal,non_ferrous,cast_aluminum,2.8,650,121,450,380,3,HB130-145,fair,poor,3,5.0
ZM5,铸造镁铝锌合金,metal,non_ferrous,cast_magnesium,1.81,595,72,230,150,6,HB60-75,excellent,fair,2,4.0
Zamak3,锌铝合金3号,metal,non_ferrous,zinc_alloy,6.6,387,113,283,221,10,HB82,excellent,poor,1,1.5
Zamak5,锌铝合金5号,metal,non_ferrous,zinc_alloy,6.7,386,109,328,269,7,HB91,excellent,poor,1,1.8
Zircaloy-4,锆合金-4,metal,non_ferrous,nuclear_material,6.56,1850,13,480,380,18,HB200,fair,good,4,80.0
ZrO2-3Y,钇稳定氧化锆陶瓷,non_metal,zirconia_ceramic,structural_ceramic,6.05,2700,2.5,1000,1000,,HV1200-1300,poor,none,4,60.0
硅酸铝,硅酸铝纤维,non_metal,ceramic,alumina_silicate,0.2,1260,0.12,,,,,fair,,2,2.0
硼硅玻璃,硼硅玻璃,non_metal,glass,borosilicate,2.23,820,1.14,,,,,poor,,2,2.5
组合件,组合件,composite,assembly,mechanical_assembly,,,,,,,,,,,
组焊件,组焊件,composite,assembly,welded_assembly,,,,,,,,,,,
聚氨酯,聚氨酯,non_metal,polymer,polyurethane,1.2,180,0.19,40,25,,,good,,2,3.0
钢化玻璃,钢化玻璃,non_metal,glass,tempered,2.5,700,1.0,,,,,poor,,2,1.8
