file_name,source_path,relative_path,source_dir,suggested_label_cn,suggested_label_en,text_sample,normalized_text_sample,title_block_drawing_number,title_block_part_name,title_block_material,title_block_scale,title_block_sheet,title_block_date,title_block_weight,title_block_company,title_block_projection,title_block_revision,review_drawing_number,review_part_name,review_material,review_scale,review_sheet,review_date,review_weight,review_company,review_projection,review_revision,dimensions_count,dimensions_sample,layers_count,hatches_count,reviewer_label_cn,reviewer_label_en,review_status,review_notes,preview_path
圆柱滚子轴承.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/圆柱滚子轴承.dxf,夹具图纸、装配图纸/圆柱滚子轴承.dwg,机械CAD图纸,圆柱滚子轴承,,B | B | SECTION B-B,b | b | section b-b,,,,,,,,,,,,,,,,,,,,,7,radial:{<>}{}{} | radial:{<>}{}{} | radial:4.00 | radial:4.00 | linear:{%%c214}{}{},19,2,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30c; manual_final_category=零件图; manual_subcategory=标准件-轴承,
零件三.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件三.dxf,CAD图纸抄画/已完成/零件三.dwg,机械CAD图纸,零件三,,,,,,,,,,,,,,,,,,,,,,,,24,linear:51.00 | linear:11.00 | linear:10.00 | linear:9.00 | radial:6.50,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,
机械制图24.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图24.dxf,CAD机械零件图纸127个/4/机械制图24.dwg,机械CAD图纸,机械制图,,2\M+5A1C145°,2\m+5a1c145°,,,,,,,,,,,,,,,,,,,,,15,linear:54.00 | linear:22.80 | linear:9.00 | radial:24.00 | radial:36.00,6,0,,,pending,,
机械制图40.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图40.dxf,CAD机械零件图纸127个/8/机械制图40.dwg,机械CAD图纸,机械制图,,,,,,,,,,,,,,,,,,,,,,,,6,radial:53.32 | radial:9.48 | radial:31.73 | angular:0.54 | radial:27.75,6,0,,,pending,,
机械制图44.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图44.dxf,CAD机械零件图纸127个/9/机械制图44.dwg,机械CAD图纸,机械制图,,,,,,,,,,,,,,,,,,,,,,,,4,linear:13.35 | linear:50.00 | linear:43.51 | linear:M8,6,1,,,pending,,
机件多面视图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机件多面视图.dxf,机件多面视图.dwg,机械零件CAD图纸,视图,,R8,r8,,,,,,,,,,,,,,,,,,,,,15,radial:14.52 | radial:10.01 | linear:47.60 | linear:%%c28 | radial:18.60,6,0,,,pending,,
机械制图75.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图75.dxf,CAD机械零件图纸127个/13/机械制图75.dwg,机械CAD图纸,机械制图,,3.2 | 5018 | \M+5B2C4\M+5C1CF\M+5BBF2\M+5B9E6\M+5B8F1 | 8x45° | \M+5B8FC\M+5B8C4\M+5C8CB | \M+5B1EA\M+5BCC7 | \M+5B8FC\M+5B8C4\M+5C4DA\M+5C8DD\M+5BBF2\M+5D2C0\M+5BEDD | \M+5B1C8\M+5C0FD | \M+5D6C6\...,3.2 | 5018 | \m+5b2c4\m+5c1cf\m+5bbf2\m+5b9e6\m+5b8f1 | 8x45° | \m+5b8fc\m+5b8c4\m+5c8cb | \m+5b1ea\m+5bcc7 | \m+5b8fc\m+5b8c4\m+5c4da\m+5c8dd\m+5bbf2\m+5d2c0\m+5bedd | \m+5b1c8\m+5c0fd | \m+5d6c6\...,,,,,,,,,,,,,,,,,,,,,13,linear:121.00 | linear:*<>h7 | linear:206.00 | linear:70.00 | linear:%%c151,6,3,,,pending,,
基准代号.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/基准代号.dxf,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/基准代号.dwg",机械CAD图纸,基准代号,,,,,,,,,,,,,,,,,,,,,,,,0,,4,0,模板,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=模板; manual_subcategory=教学模板(形位公差基准),
螺栓视图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/螺栓视图.dxf,CAD机械零件图纸127个/14/螺栓视图.dwg,机械CAD图纸,视图,,1x45°,1x45°,,,,,,,,,,,,,,,,,,,,,6,linear:9.00 | linear:55.00 | linear:M12 | linear:26.00 | linear:40.00,6,0,,,pending,,
机械制图62.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图62.dxf,CAD机械零件图纸127个/11/机械制图62.dwg,机械CAD图纸,机械制图,,A | A | A | A | A | A | ∅8\M+5CDA8\M+5BFD7 | \M+5CFF2 | C | C,a | a | a | a | a | a | ∅8\m+5cda8\m+5bfd7 | \m+5cff2 | c | c,,,,,,,,,,,,,,,,,,,,,29,linear:8.70 | linear:116.00 | linear:%%C<> | linear:%%C<> | linear:126.00,6,6,,,pending,,
光线调节座.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/光线调节座.dxf,2007版本的/光线调节座.dwg,机械CAD图纸,光线调节座,,,,,,,,,,,,,,,,,,,,,,,,6,radial:7.00 | radial:{4-<>}{}{\H0.7143x;\S+0.01^  0;} | radial:32.00 | linear:9.00 | radial:27.00,23,4,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=座类-调节座,
机械制图71.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图71.dxf,CAD机械零件图纸127个/13/机械制图71.dwg,机械CAD图纸,机械制图,,\M+5B9A4\M+5D2D5\M+5BCEC\M+5B2E9 | \M+5B8FC\M+5B8C4\M+5C4DA\M+5C8DD\M+5BBF2\M+5D2C0\M+5BEDD | \M+5B1EA\M+5BCC7 | \M+5B8FC\M+5B8C4\M+5C8CB | \M+5C8D5\M+5C6DA | \M+5BCEC\M+5B2E9 | \M+5B1EA\M+5D7BC\M+...,\m+5b9a4\m+5d2d5\m+5bcec\m+5b2e9 | \m+5b8fc\m+5b8c4\m+5c4da\m+5c8dd\m+5bbf2\m+5d2c0\m+5bedd | \m+5b1ea\m+5bcc7 | \m+5b8fc\m+5b8c4\m+5c8cb | \m+5c8d5\m+5c6da | \m+5bcec\m+5b2e9 | \m+5b1ea\m+5d7bc\m+...,,,,,,,,,,,,,,,,,,,,,12,radial:115.00 | radial:6-<>{\fTxt|b0|i0|c134|p2;\M+5CDA8\M+5BFD7} | linear:25.04 | linear:10.00 | linear:%%c<>,6,1,,,pending,,
35001滑板装配图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/35001滑板装配图.dxf,35001滑板装配图.dwg,机械零件CAD图纸,装配图,,\M+5C9E8\M+5BCC6\M+5D4B1 | \M+5BCEC  \M+5CDBC | \M+5D6F7\M+5C8CE\M+5C9E8\M+5BCC6\M+5CAA6 | \M+5B1EA\M+5D7BC\M+5BBAF\M+5C9F3\M+5B2E9 | \M+5B2FA\M+5C6B7\M+5B9A4\M+5D2D5\M+5CAA6 | \M+5C8D5  \M+5C6DA |...,\m+5c9e8\m+5bcc6\m+5d4b1 | \m+5bcec  \m+5cdbc | \m+5d6f7\m+5c8ce\m+5c9e8\m+5bcc6\m+5caa6 | \m+5b1ea\m+5d7bc\m+5bbaf\m+5c9f3\m+5b2e9 | \m+5b2fa\m+5c6b7\m+5b9a4\m+5d2d5\m+5caa6 | \m+5c8d5  \m+5c6da |...,,,,,,,,,,,,,,,,,,,,,172,linear:110.00 | linear:80.00 | linear:65.00 | linear:155.00 | linear:125.00,8,219,装配图,,confirmed,manual_priority_decision; manual_priority_pack_30c; manual_final_category=装配图; manual_subcategory=机构装配,
后筒体（改）.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/后筒体（改）.dxf,1200型风送式喷雾机/后筒体（改）.dwg,机械CAD图纸,后筒体（改）,,PELECBASETEXT1 | 1\M+5A1A2\M+5BFC9\M+5B2C9\M+5D3C3\M+5BAB8\M+5BDD3\M+5C6B4\M+5BDD3\M+5B6F8\M+5B3C9 2\M+5A1A2\M+5BAB8\M+5BDD3\M+5CDEA\M+5BAF3\M+5B4F2\M+5C4A5\M+5C5D7\M+5B9E2\M+5BAB8\M+5B7EC 3\M+5A1A...,pelecbasetext1 | 1\m+5a1a2\m+5bfc9\m+5b2c9\m+5d3c3\m+5bab8\m+5bdd3\m+5c6b4\m+5bdd3\m+5b6f8\m+5b3c9 2\m+5a1a2\m+5bab8\m+5bdd3\m+5cdea\m+5baf3\m+5b4f2\m+5c4a5\m+5c5d7\m+5b9e2\m+5bab8\m+5b7ec 3\m+5a1a...,,,,,,,,,,,,,,,,,,,,,8,linear:8-<>\M+5BEF9\M+5B2BC | linear:3150 | linear:18.00 | linear:18.00 | linear:9.00,23,54,后筒体（改）,,confirmed,manual_priority_decision; manual_priority_pack_30,
机械制图52.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图52.dxf,CAD机械零件图纸127个/10/机械制图52.dwg,机械CAD图纸,机械制图,,1\M+5A1C145° | 145° | 2∶1 | R1.5,1\m+5a1c145° | 145° | 2∶1 | r1.5,,,,,,,,,,,,,,,,,,,,,28,linear:25.00 | linear:5.00 | linear:%%c<> | linear:5.00 | linear:2\f\M+5CBCE\M+5CCE5|b0|i0|c134|p2;\M+5A1C1\Ftxt.shx;%%c18,6,2,,,pending,,
机械制图61.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图61.dxf,CAD机械零件图纸127个/11/机械制图61.dwg,机械CAD图纸,机械制图,,Ø39 | 75 | 20,ø39 | 75 | 20,,,,,,,,,,,,,,,,,,,,,26,linear:123.35 | linear:17.26 | linear:68.40 | linear:100.92 | linear:127.74,6,1,,,pending,,
箱盖.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/箱盖.dxf,CAD机械零件图纸127个/蜗杆涡轮/箱盖.dwg,机械CAD图纸,盖,,,,,,,,,,,,,,,,,,,,,,,,0,,7,5,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30c; manual_final_category=零件图; manual_subcategory=盖类-箱盖,
机械制图14.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图14.dxf,CAD机械零件图纸127个/3/机械制图14.dwg,机械CAD图纸,机械制图,,R12 | R34 | ∅58,r12 | r34 | ∅58,,,,,,,,,,,,,,,,,,,,,27,radial:19.20 | radial:1.92 | radial:7.68 | radial:11.35 | linear:14.40,6,0,,,pending,,
机械制图41.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图41.dxf,CAD机械零件图纸127个/8/机械制图41.dwg,机械CAD图纸,机械制图,,2,2,,,,,,,,,,,,,,,,,,,,,9,linear:108 | linear:1.5 | linear:104.54 | linear:2.16 | linear:20.94,6,0,,,pending,,
机械制图56.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图56.dxf,CAD机械零件图纸127个/11/机械制图56.dwg,机械CAD图纸,机械制图,,R90 | R95 | 6,r90 | r95 | 6,,,,,,,,,,,,,,,,,,,,,29,linear:64.00 | linear:8.00 | linear:56.00 | linear:58.63 | linear:6.00,13,2,,,pending,,
4后桥装配 - 副本.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/4后桥装配 - 副本.dxf,夹具图纸、装配图纸/4后桥装配 - 副本.dwg,机械CAD图纸,后桥装配,,59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 70 | 71 | 72 | 73 | 74 | 75 | 76 | 77 | 78 | 79 | 80 | 轮毂 | 2 | 2 | 6 | 6 | 2 | 6 | 6 | 1 | 2 | 4 | 4 | 4 | 1 | 45钢 | 45钢 | GCr4 | 45钢 | HT200...,59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 70 | 71 | 72 | 73 | 74 | 75 | 76 | 77 | 78 | 79 | 80 | 轮毂 | 2 | 2 | 6 | 6 | 2 | 6 | 6 | 1 | 2 | 4 | 4 | 4 | 1 | 45钢 | 45钢 | gcr4 | 45钢 | ht200...,,数量,单件,1:2,,,,,,,,,,,,,,,,,8,linear:%%c30k6 | linear:%%c62H7/f8 | linear:%%c30k6 | linear:%%c62H7/f8 | linear:%%c35H7/f7,12,59,装配图,,confirmed,manual_priority_decision,
机械制图12.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图12.dxf,CAD机械零件图纸127个/3/机械制图12.dwg,机械CAD图纸,机械制图,,65\M+5A1E3,65\m+5a1e3,,,,,,,,,,,,,,,,,,,,,22,linear:22.76 | linear:32.26 | linear:7.86 | linear:16.38 | linear:10.84,4,0,,,pending,,
机械制图13.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图13.dxf,CAD机械零件图纸127个/3/机械制图13.dwg,机械CAD图纸,机械制图,,R24,r24,,,,,,,,,,,,,,,,,,,,,18,radial:28.80 | radial:15.60 | linear:7.00 | radial:4.00 | radial:2.00,6,0,,,pending,,
机械制图37.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图37.dxf,CAD机械零件图纸127个/8/机械制图37.dwg,机械CAD图纸,机械制图,,,,,,,,,,,,,,,,,,,,,,,,19,linear:42.40 | linear:32.58 | linear:5.43 | angular:1.28 | linear:16.79,4,0,,,pending,,
9.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/9.dxf,9.dwg,机械零件CAD图纸,练习零件图,,,,,,,,,,,,,,,,,,,,,,,,8,radial:20.00 | linear:160.00 | linear:20.00 | linear:25.00 | radial:80.00,4,0,,,pending,,
装配图纸.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/装配图纸.dxf,夹具图纸、装配图纸/装配图纸.dwg,机械CAD图纸,装配图,,01 | 02 | 03 | 1700102 | 1700101 | 开关上盖 | 开关底座 | 后视镜开关安装槽 | 1700103 | 代       号 | 名       称 | 材       料 | 单件 | 总计 | 备 注 | 04 | 05 | 1700104 | 卡  扣 | 长春大学机械与车辆学院 | 阶段标记 | 重量 | 比例 | 共 张  第   张 | 工艺 |...,01 | 02 | 03 | 1700102 | 1700101 | 开关上盖 | 开关底座 | 后视镜开关安装槽 | 1700103 | 代       号 | 名       称 | 材       料 | 单件 | 总计 | 备 注 | 04 | 05 | 1700104 | 卡  扣 | 长春大学机械与车辆学院 | 阶段标记 | 重量 | 比例 | 共 张  第   张 | 工艺 |...,,,为聚乙烯； 2.聚乙烯材料中要加入稳定剂和其他助剂。,,,,,,,,,,,,,,,,,,59,angular:2.31 | angular:2.16 | angular:2.71 | linear:79.40 | linear:34.00,8,13,装配图,,confirmed,manual_priority_decision; manual_priority_pack_30,
CAD图框.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/CAD图框.dxf,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/CAD图框.dwg",机械CAD图纸,图框,,\M+5B1EA\M+5BCC7 | \M+5B4A6\M+5CAFD | \M+5B7D6\M+5A1A1\M+5C7F8 | \M+5B8FC\M+5B8C4\M+5CEC4\M+5BCFE\M+5BAC5 | \M+5C7A9\M+5C3FB | \M+5C4EA\M+5A1A2\M+5D4C2\M+5A1A2\M+5C8D5 | \M+5A3A8\M+5C4EA\M+5D4C2\M+...,\m+5b1ea\m+5bcc7 | \m+5b4a6\m+5cafd | \m+5b7d6\m+5a1a1\m+5c7f8 | \m+5b8fc\m+5b8c4\m+5cec4\m+5bcfe\m+5bac5 | \m+5c7a9\m+5c3fb | \m+5c4ea\m+5a1a2\m+5d4c2\m+5a1a2\m+5c8d5 | \m+5a3a8\m+5c4ea\m+5d4c2\m+...,,,,,,,,,,,,,,,,,,,,,0,,34,0,机械制图,,confirmed,manual_priority_decision; manual_priority_pack_30,
滑块SCS16UU.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/滑块SCS16UU.dxf,PDF版/滑块SCS16UU.dwg,机械CAD图纸,滑块,,,,,,,,,,,,,,,,,,,,,,,,13,linear:10.00 | linear:36.00 | linear:43.00 | linear:7.00 | linear:44.00,18,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=标准件-直线滑块,
机械制图33.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图33.dxf,CAD机械零件图纸127个/5/机械制图33.dwg,机械CAD图纸,机械制图,,,,,,,,,,,,,,,,,,,,,,,,21,linear:65.07 | linear:62.99 | linear:27.48 | linear:8.65 | linear:1.00,6,0,,,pending,,
瞄准指示激光器结构示意图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/瞄准指示激光器结构示意图.dxf,2007版本的/瞄准指示激光器结构示意图.dwg,机械CAD图纸,示意图,,,,,,,,,,,,,,,,,,,,,,,,0,,23,0,,,pending,,
M10圆柱销.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/M10圆柱销.dxf,夹具设计/CAD2007/M10圆柱销.dwg,机械CAD图纸,紧固件,,\M+5CEB4\M+5D7A2\M+5B5B9\M+5BDC7\M+5CEAAC0.5,\m+5ceb4\m+5d7a2\m+5b5b9\m+5bdc7\m+5ceaac0.5,,,,,,,,,,,,,,,,,,,,,4,linear:{%%c<>}{}{\H0.7143x;\S+0.024^ +0.015;} | linear:10.00 | linear:15.00 | linear:{%%c<>}{}{\H0.7143x;\S+0.02^ +0.012;},19,1,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=标准件-销类,
天花灯·COB技术文件1.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/天花灯·COB技术文件1.dxf,夹具图纸、装配图纸/天花灯·COB技术文件1.dwg,机械CAD图纸,技术文件,,标记 | 备注 | 版本号 | 第    张 | 数 量 | 比 例 | 阶段标记 | 共    张 | 签 名 | 年月日 | 1:1 | 1 | 0 | 1 | 1 | 9 | 8 | 7 | 6 | 5 | 4 | 3 | 2 | 10 | 产  品  编   号 | 序号 | 11 | 12 | 重量 | 备   注 | 数量 | 规格 | 名   称 | 0 | 0 | 0 | 0...,标记 | 备注 | 版本号 | 第    张 | 数 量 | 比 例 | 阶段标记 | 共    张 | 签 名 | 年月日 | 1:1 | 1 | 0 | 1 | 1 | 9 | 8 | 7 | 6 | 5 | 4 | 3 | 2 | 10 | 产  品  编   号 | 序号 | 11 | 12 | 重量 | 备   注 | 数量 | 规格 | 名   称 | 0 | 0 | 0 | 0...,,,净重,,,,,,,,,,,,,,,,,,673,linear:%%C<> | linear:%%C<> | linear:%%C<> | linear:%%C<> | linear:55.00,45,93,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30c; manual_final_category=零件图; manual_subcategory=电器零件,
机械制图17.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图17.dxf,CAD机械零件图纸127个/4/机械制图17.dwg,机械CAD图纸,机械制图,,R8 | R3,r8 | r3,,,,,,,,,,,,,,,,,,,,,21,radial:22.68 | radial:18.06 | radial:14.70 | linear:5.88 | linear:2.52,6,0,,,pending,,
零件七.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件七.dxf,CAD图纸抄画/已完成/零件七.dwg,机械CAD图纸,零件七,,,,,,,,,,,,,,,,,,,,,,,,14,radial:{<>}{}{\H0.7143x;\S-0.04^ -0.06;} | linear:13 | linear:13 | linear:17.50 | linear:29.50,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,
三视图1.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/三视图1.dxf,CAD机械零件图纸127个/14/三视图1.dwg,机械CAD图纸,三视图,,,,,,,,,,,,,,,,,,,,,,,,9,linear:20.00 | linear:10.00 | linear:8.00 | radial:10.00 | radial:12.00,4,0,,,pending,,
工件图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/工件图.dxf,夹具设计/CAD2007/工件图.dwg,机械CAD图纸,工件图,,A | A | SECTION A-A,a | a | section a-a,,,,,,,,,,,,,,,,,,,,,15,linear:120.00 | linear:120.00 | radial:120.00 | linear:20.00 | linear:165.00,19,1,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30c; manual_final_category=零件图; manual_subcategory=加工工件,
轴零件图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/轴零件图.dxf,CAD机械零件图纸127个/15/轴零件图.dwg,机械CAD图纸,零件图,,A | A | 1\M+5A1C145° | 1\M+5A1C145° | \M+5B1ED\M+5C3E6\M+5B4E3\M+5BBF0HRC56-62 | \M+5BEB6\M+5CFF2\M+5B3DF\M+5B4E7\M+5B1EA\M+5D7BC | I | II | \M+5D6E1\M+5CFF2\M+5D6F7\M+5D2AA\M+5BBF9\M+5D7BC | \M+5D...,a | a | 1\m+5a1c145° | 1\m+5a1c145° | \m+5b1ed\m+5c3e6\m+5b4e3\m+5bbf0hrc56-62 | \m+5beb6\m+5cff2\m+5b3df\m+5b4e7\m+5b1ea\m+5d7bc | i | ii | \m+5d6e1\m+5cff2\m+5d6f7\m+5d2aa\m+5bbf9\m+5d7bc | \m+5d...,,,,,,,,,,,,,,,,,,,,,23,linear:14.00 | linear:35.00 | linear:14.00 | linear:13.00 | linear:2.50,6,3,零件图,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=零件图; manual_subcategory=轴类,
机械制图47.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图47.dxf,CAD机械零件图纸127个/9/机械制图47.dwg,机械CAD图纸,机械制图,,,,,,,,,,,,,,,,,,,,,,,,10,linear:8.00 | linear:3.79 | linear:7.00 | linear:2.92 | linear:%%c<>,6,1,,,pending,,
机械制图25.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图25.dxf,CAD机械零件图纸127个/5/机械制图25.dwg,机械CAD图纸,机械制图,,,,,,,,,,,,,,,,,,,,,,,,15,radial:30.00 | radial:19.20 | radial:13.20 | linear:51.60 | linear:11.40,6,0,,,pending,,
激光固定座2.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/激光固定座2.dxf,2007版本的/激光固定座2.dwg,机械CAD图纸,激光固定座,,,,,,,,,,,,,,,,,,,,,,,,12,linear:120.00 | radial:{4-<>}{}{} | linear:15.00 | radial:16.00 | linear:23.40,23,1,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=座类-固定座,
JDC00000.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/JDC00000.dxf,JDC00000.DWG,机械零件CAD图纸,示意图,,JD COOO 00 | \M+5BDC1 \M+5B0E8 \M+5B9DE | 1:5 | 1120%%p0.13 | 2650 | R757 | 16-%%C22 | R540 | %%C580 | 2056 | 1175 | \M+5A1F1 | 2 | \M+5A1F1 | 4 | \M+5A1F1 | 5 | \M+5A1F1 | 6 | \M+5A1F1 | 7 | \M+5A...,jd cooo 00 | \m+5bdc1 \m+5b0e8 \m+5b9de | 1:5 | 1120%%p0.13 | 2650 | r757 | 16-%%c22 | r540 | %%c580 | 2056 | 1175 | \m+5a1f1 | 2 | \m+5a1f1 | 4 | \m+5a1f1 | 5 | \m+5a1f1 | 6 | \m+5a1f1 | 7 | \m+5a...,,,,,,,,,,,,,,,,,,,,,13,linear:140 | linear:140 | linear:80 | linear:130 | angular:17%%d,28,0,机械制图,,confirmed,manual_priority_decision; manual_priority_pack_30,
激光固定座.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/激光固定座.dxf,2007版本的/激光固定座.dwg,机械CAD图纸,激光固定座,,,,,,,,,,,,,,,,,,,,,,,,8,linear:6.50 | linear:8.00 | linear:6.93 | linear:{<>}{}{} | angular:2.62,23,1,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=座类-固定座,
机械制图46.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图46.dxf,CAD机械零件图纸127个/9/机械制图46.dwg,机械CAD图纸,机械制图,,1\M+5A1C145°,1\m+5a1c145°,,,,,,,,,,,,,,,,,,,,,9,linear:71.44 | linear:25.34 | linear:5.76 | linear:14.56 | linear:16.07,6,1,,,pending,,
A3模板.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/A3模板.dxf,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/A3模板.dwg",机械CAD图纸,模板,,\M+5C9F3\M+5BACB | \M+5B9A4\M+5D2D5 | \M+5C5FA\M+5D7BC | \M+5BDD7\M+5B6CE\M+5B1EA\M+5BCC7 | \M+5D6D8\M+5C1BF | \M+5B1C8\M+5C0FD | \M+5B1EA\M+5BCC7 | \M+5B4A6\M+5CAFD | \M+5B7D6\M+5C7F8 | \M+5B8FC\M...,\m+5c9f3\m+5bacb | \m+5b9a4\m+5d2d5 | \m+5c5fa\m+5d7bc | \m+5bdd7\m+5b6ce\m+5b1ea\m+5bcc7 | \m+5d6d8\m+5c1bf | \m+5b1c8\m+5c0fd | \m+5b1ea\m+5bcc7 | \m+5b4a6\m+5cafd | \m+5b7d6\m+5c7f8 | \m+5b8fc\m...,,,,,,,,,,,,,,,,,,,,,0,,4,0,模板,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=模板; manual_subcategory=图框模板-A3幅面,
涡轮.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/涡轮.dxf,老接的/涡轮.dwg,蜗杆与箱体,涡轮,,,,,,,,,,,,,,,,,,,,,,,,0,,2,1,机械制图,,confirmed,manual_priority_decision; manual_priority_pack_30,
机械制图50.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图50.dxf,CAD机械零件图纸127个/10/机械制图50.dwg,机械CAD图纸,机械制图,,,,,,,,,,,,,,,,,,,,,,,,8,radial:31.20 | radial:4.00 | radial:8.00 | angular:0.14 | angular:0.14,6,0,,,pending,,
